,Department,CourseID,CourseName,Description,Instructors,TermsOffered,Prerequisites,Equivalent,Terms
239,RLST,RLST 28926,"Wonder, Wonders, and Knowing.  ","In wonder is the beginning of philosophy,"" wrote Aristotle; Descartes also thought that those deficient in wonder were also deficient in knowledge. But the relationship between wonder and inquiry has always been an ambivalent one: too much wonder stupefies rather than stimulates investigation, according to Descartes; Aristotle explicitly excluded wonders as objects of inquiry from natural philosophy. Francis Bacon called wonders ""broken knowledge."" Since the sixteenth century, scientists and scholars have both cultivated and repudiated the passion of wonder; On the one hand, marvels (or even just anomalies) threaten to subvert the human and natural orders; on the other, the wonder they ignite inquiry into their causes. Wonder is also a passion tinged with the numinous, and miracles have long stood for the inexplicable in religious contexts. Above all, wonders demand attention and interpretation. This seminar will explore the long, vexed relationship between wonder, knowledge, and belief in the history of philosophy, science, and religion.",Lorraine Daston,Spring. Spring 2024,Consent is required for both grads and undergrads. This course will be taught in the first five weeks of the quarter. Reading knowledge of at least one language besides English would be helpful but not requried.,"PHIL 20926, KNOW 30926, SCTH 20926, SCTH 30926, CHSS 30936, HIST 25318, PHIL 30926, HREL 30926, HIST 35318",Spring
240,RLST,RLST 29000,The American Culture Wars.  ,"Should we tear down statues of Confederate soldiers? Should religious institutions be exempt from public health regulations? How (if at all) should we regulate abortion? These questions are only the latest battlefields in the ""culture wars,"" the long-running conversation-or, more often, shouting match-about how Americans ought to live. This seminar will explore how Americans have wrestled with questions of morality and national identity since the country's founding. Two questions will drive our discussion. First, why do certain issues become the subject of fierce cultural conflict? Second, do these conflicts enrich or undermine American democracy?",William Schultz,Winter,N/A,"GNSE 29000, HIST 27715, DEMS 29000, AMER 29000, CRES 27000",Winter
241,RLST,RLST 29003,"Islam Beyond the Human: Spirits, Demons, Devils, and Ghosts.  ","This seminar explores the diverse spiritual and sentient lifeforms within Islamic cosmology that exist beyond the human-from jinn, angels, and ghosts to demons and devils. We will focus on theological, scientific, philosophical, anthropological, and historical accounts of these creatures across a variety of texts, as well as their literary and filmic afterlives in contemporary cultural representations. In so doing, we consider the various religious, social, and cultural inflections that shape local cosmological imaginaries. We ask how reflecting on the nonhuman world puts the human itself in question, including such concerns as sexuality and sexual difference, the boundaries of the body, reason and madness, as well as the limits of knowledge.",Alireza Doostdar and Hoda El Shakry,Autumn,Enrollment by Consent Only (for both grads and undergrads). Students should send the instructors a paragraph explaining their interest and prior preparation or familiarity with the themes in the course.,"GNSE 49003, ISLM 49003, CMLT 29003, ANTH 49003, GNSE 29003, NEHC 29003, AASR 49003, NEHC 49003, ANTH 29003, KNOW 49003, CMLT 49003",Autumn
242,RLST,RLST 29030,"Islam, Race and Decoloniality.  ","This course explores western perspectives, attitudes and representations of Muslims and Islam from medieval European thought, through liberal colonial encounters to contemporary media and political discourses. Students will examine the intersection of race and religion as it applies to the construction of Muslim identity and alterity in the Western imagination. We will explore the remarkable consistency across centuries of the threatening, menacing, barbaric and uncivilized Muslim ""Other"". The course centers around these Orientalist constructions and will explore the power structures, colonial modalities, epistemological frameworks, and ideological assumptions that perpetuate the racialization of Islam and Muslims within the United States and abroad. This course ultimately aims to uncover potentials for resistance, recovery and renewal through the politics and praxis of decoloniality. Students will gain familiarity with decolonial theory and practices, as well as the important project of 'epistemic delinking' as it is framed by contemporary scholars intent on challenging, possibly undoing and remapping the Muslim experience within global liberal political modernity.",Maliha Chishti,Winter,N/A,"NEHC 39030, KNOW 39030, NEHC 29030, ISLM 39030",Winter
243,RLST,RLST 29700,Reading and Research Course.  ,"This is the Reading and Research independent study that RLST majors/minors can petition to take, in conjunction with a faculty supervisor and the Director of Undergraduate Studies in the Divinity School.",N/A,N/A,Consent of faculty supervisor and Director of Undergraduate Studies.,N/A,None
244,RLST,RLST 29800,BA Research Seminar I.  ,"This class meets weekly to provide guidance for planning, researching, and writing the BA research paper. The two-quarter senior sequence will assist students in the Research Track with the preparation of the required BA paper. During May of their third year, students will work with the preceptor to choose a faculty adviser and a topic for research, and to plan a course of study for the following year. These must be approved by the Director of Undergraduate Studies. Students will take part in the BA Research Seminar convened by a preceptor during Autumn and Winter Quarters of their senior year. This seminar will allow students to prepare their bibliographies, hone their writing, and present their research.",Mendel Kranz,Autumn. Mendel Kranz will be both instructor of this course and BA Preceptor.,Consent of faculty supervisor and Director of Undergraduate Studies.,N/A,Autumn
245,RLST,RLST 29900,BA Research Seminar II.  ,"This class meets weekly to assist students in the preparation of drafts of their BA paper, which are formally presented and critiqued. The two-quarter senior sequence will assist students in the Research Track with the preparation of the required BA paper. During May of their third year, students will work with the preceptor to choose a faculty adviser and a topic for research, and to plan a course of study for the following year. These must be approved by the Director of Undergraduate Studies. Students will take part in the BA Paper Seminar convened by a preceptor during Autumn and Winter Quarters of their senior year. This seminar will allow students to prepare their bibliographies, hone their writing, and present their research.",Mendel Kranz,Winter. Mendel Kranz will be both instructor of this course and BA Preceptor.,N/A,N/A,Winter
246,RDIN,RDIN 10117,"She'll never be human again!"": Superheroes and Bodily Transformation.  ","This course looks at the mutated, rearranged, supplemented, and hyper-able bodies of superheroes and supervillains. Drawing on disabilities studies, critical race theory, gender studies, and trans and queer studies, we'll examine 20th- and 21st-century representations of super-anatomies and their place in American culture. Within superhero media-a genre full of spectacular bodily transformation, biological difference, and physical violence-where do ideologies around race, gender, sexuality, ability, and definitions of ""human"" get reproduced or destabilized? How can these biodivergent figures who stretch, incinerate, and bubble with muscle be resources for envisioning new possibilities for queer and racialized living, or for reading outside of traditional fantasies of white male power? What is the role of Western science and medicine, of accidents, experiments, and evolutions? Looking at film, graphic novels, and literary texts, we'll ask how materiality-what the body's made of-can (re)produce ideology. Finally, we'll consider these narratives in relation to how bodily transformation is policed today, from bans on gender-affirming care to non-consensual ""mutations"" caused by environmental racism. Students of all majors are welcome. (Fiction, 1830-1990, Theory)",N/A,N/A,N/A,"ENGL 10117, GNSE 12126",None
247,RDIN,RDIN 10600,Power and Resistance in the Black Atlantic.  ,"Beginning with the arrival of European explorers on the West African coast in the fifteenth century and culminating with the stunning success of radical abolitionist movements across the Americas in the nineteenth century, the formation of the Black Atlantic irrevocably reshaped the modern world. This class will examine large-scale historical processes, including the transatlantic slave trade, the development of plantation economies, and the birth of liberal democracy. Next, we will explore the lives of individual Africans and their American descendants, the communities they built, and the cultures they created. We will consider the diversity of the Black Atlantic by examining the lives of a broad array of individuals, including black intellectuals, statesmen, soldiers, religious leaders, healers, and rebels. We will examine African diasporic subjects as creative rather than reactive historical agents and their unique contributions to Atlantic cultures, societies, and ideas. Within this geographically and temporally expansive history students will explore a key set of animating questions: What is the Black Atlantic? How can we understand both the commonalities and diversity of the experiences of Africans in the Diaspora? What kinds of communities, affinities, and identities did Africans create after being uprooted by the slave trade? What methods do scholars use to understand this history? And finally, what is the historical and political legacy of the Black Atlantic?",N/A,N/A,N/A,"LACS 10600, HIST 10600",None
248,RDIN,RDIN 12100,Racial Formations.  ,"Race is arguably the most significant social category shaping the fabric and trajectory of American life-and yet, it is also one of the most poorly understood and eagerly avoided topics in our public consciousness. In this course, we will examine paradigms for understanding race in both academic and popular contexts. Using theoretical constructs, historical case studies, contemporary topics in politics and culture, and empirical research on racial attitudes and disparities, this course explores questions such as: what are the racial boundaries that shape our lives? Where did they come from, how have they changed over time, and how are they continuing to evolve? Whose interests do they serve? We will also draw on news and current events to observe and analyze the ways that racial boundaries and the social meaning of race impact public policy and public debate.",Eve L. Ewing,Winter,None,CRES 12600,Winter
249,RDIN,RDIN 12200,Diaspora(s)  ,"This class will orient students to the practices, frameworks, and geographies of diasporic communities from the early modern period to the present. The term's initial origins in Jewish experiences of forced dispersal and migration underscores how its meaning is shaped by histories of collective displacement and loss, as well as invention and heritage. The discourse of diaspora remains foundational for several interdisciplinary fields, including Black studies, Asian American studies, Indigenous studies, Latinx studies, and more. Within these intellectual orientations, diasporic identities are notably expansive and unfixed. As observed by the late cultural theorist Stuart Hall, ""diaspora identities are those which are constantly producing and reproducing themselves anew, through transformation and difference,"" bridging old and new traditions of worldmaking, resistance, and solidarities within and across distinct diasporic sensibilities."" Students in this class will work with scholarly, literary, sonic, and visual materials demonstrating how use of diaspora alternately mobilizes and roots people, in ways that claim pasts and futures at once.",Adam Green,Spring,N/A,"HIST 12706, CRES 12700, GLST 22700",Spring
250,RDIN,RDIN 12300,Formations of Indigeneity.  ,"Whose land are we on? What does it mean to be Indigenous, for generations past and in the twenty-first century? From debates over claims of Indigenous ancestry by political actors to the struggles of sacred lands protection against natural resource extraction, understanding the stakes of these concerns for Indigenous peoples and nations is more relevant than ever. This seminar-part of the sequence for majors in the Department of Race, Diaspora, and Indigeneity-introduces students to core texts and concepts in the field of Native American and Indigenous Studies (NAIS). Topics will include sovereignty and governance, settler colonialism, citizenship and nationhood, blood quantum and racialization, diasporas and urban indigeneity, and relationships to land and environment. Course activities may include engagement with Indigenous films, dialogues with visiting Indigenous scholars, and field trips to Chicago-area cultural institutions.",Teresa Montoya and Matthew Kruer,Autumn,N/A,"CRES 12800, ANTH 12800, CHST 12300, HIST 17800",Autumn
251,RDIN,RDIN 13580,Introduction to Asian American Literatures.  ,"This is a survey course that introduces students to the complex and uneven history of Asians in American from within a transnational context. As a class, we will look at Asian American texts and films while working together to create a lexicon of multilingual, immigrant realities. Through theoretical works that will help us define keywords in the field and a wide range of genres (novels, films, plays, and graphic novels), we will examine how Asia and Asians have been represented in the literatures and popular medias of America. Some of the assigned authors include, but are not limited to, Carlos Bulosan, Maxine Hong Kingston, Joy Kogawa, Fae Myenne Ng, Nora Okja Keller, Cathy Park Hong, Ted Chiang, and Yoko Tawada.",Mee-Ju Ro,TBD,N/A,"ENGL 13580, CRES 13580",None
252,RDIN,RDIN 16100,Introduction to Latin American Civilization I.  ,"Autumn Quarter examines the origins of civilizations in Latin America with a focus on the political, social, and cultural features of the major pre-Columbian civilizations of the Maya, Inca, and Aztec. The quarter concludes with an analysis of the Spanish and Portuguese conquest, and the construction of colonial societies in Latin America. The courses in this sequence may be taken in any order.",Emilio Kourí,Autumn,N/A,"ANTH 23101, HIST 36101, CRES 16101, LACS 34600, HIST 16101, SOSC 26100, LACS 16100",Autumn
253,RDIN,RDIN 16200,Introduction to Latin American Civilization II.  ,"Winter Quarter addresses the evolution of colonial societies, the wars of
independence, and the emergence of Latin American nation-states in the
changing international context of the nineteenth century.",Mauricio Tenorio,Winter,N/A,"CRES 16102, PPHA 39770, LACS 34700, HIST 36102, ANTH 23102, HIST 16102, LACS 16200, SOSC 26200",Winter
254,RDIN,RDIN 16404,"Criminal, Police, and Citizen in Latin America.  ","Crime and policing are intensely debated today around the world, but perhaps nowhere are these debates felt more sharply than in Latin America, the site of both high rates of crime and violence and widespread distrust of the police and criminal justice institutions. This course delves into the history of these issues in the region. In the process, it sheds light on broader themes of Latin American history from the late colonial period to the present day. As the course shows through topics ranging from crimes against honor, to the policing of street vending, to the drug war, crime and policing in Latin America have been crucial spaces for the construction and contestation of social and legal hierarchies, the voicing of political protest and social critique, and the making and unmaking of citizenship. Through the use of diverse readings, including primary sources such as court records, satirical poems, and blockbuster films, students will trace how ideas of crime, and of the role of the state in attempting to define it and respond to it, changed over time with broader social, economic, and political developments. In doing so, they will examine how crime and policing have intersected with class, race, and gender, and how debates over crime and the practices of policing have shaped the boundaries of citizenship.",K. Boyar,Spring,N/A,"GNSE 16404, HIST 16404",Spring
255,RDIN,RDIN 18405,Histories of Native America.  ,"Modern Americans often think of their history beginning with the European discovery of the ""New World."" But those Europeans did not ""discover"" anything. In the Americas, they encountered an Old World filled with diverse Indigenous peoples, cultures, and polities; a world alive with its own dynamic histories. This courses explores the world of Native North America from the evolution of complex city-states in the centuries before European invasion to the seismic changes that Indigenous peoples have navigated in the era of colonization (1492-present). Topics include Native struggles to create a shared world with settlers in the seventeenth century; movements to maintain independence from European empires and the new United States; nineteenth-century experiences of conquest, removal, confinement to reservations, and coercive assimilation; twentieth-century resurgence, battles in the courts, and ""Red Power"" activism; and twenty-first century struggles for sovereignty, self-determination, and environmental justice. Students will engage with a variety of primary and secondary sources, focusing on texts produced by Native people and centering Native points of view.",N/A,N/A,N/A,HIST 18405,None
256,RDIN,RDIN 18702,"Race, Politics, and Sports in the United States.  ","This lecture-discussion course explores how racial identity has been experienced, represented, and contested throughout American history.  We will examine the major historical transformations that have shaped the development and understanding of racial identity, by engaging historical, legal, literary, and filmic texts.  A diverse set of primary sources will be read against historical works.  Moving along both chronological and thematic axes, themes of ambiguous, hidden, and hybrid identity will be critical to investigate the problems of racial mixture, mixed-race identity, racial passing, and racial performance across historical periods.  The interplay of the problems of class and gender in the construction of racial identity will also be explored.",M. Briones,Winter,N/A,HIST 18702,Winter
257,RDIN,RDIN 20007,Africa in the Middle East and the Middle East in Africa.  ,"From Mansa Musa's Hajj in 1324 to the contemporary Afrobeats scene in Dubai, African and Middle Eastern societies share long histories of interconnection. This course examines these interconnections from the early modern to the contemporary era through a series of case studies ranging from traditions of exchange on the Swahili Coast, to the Ottoman Scramble for Africa, to the creation of a long-standing Lebanese diaspora in West Africa and a more recent Ethiopian Jewish community in Israel. Students will examine debates that animate this field of scholarship including conversations about race; histories of slavery and its legacies; conceptions of indigeneity, nativism, and settler colonialism; religious encounters; gender and society; shared and divergent experiences of European colonialism and struggles for independence; and transnational collective-building projects such as Pan-Africanism and Pan-Arabism. In addition to scholarship based on textual analysis, students will develop skills to investigate cultural sources such as music, photography, film, fashion, literature, and sports. No prior coursework in Middle Eastern or African studies is required. However, a background in African Civ, Islamic History and Society Civ, or Islamic Thought and Literature Civ is recommended.",K. Hickerson,Spring,N/A,"HIST 20007, GNSE 20007",Spring
258,RDIN,RDIN 20100,Afrofuturism(s)  ,"Despite its explosion in popularity as a term of art in the last ten years, ""Afrofuturism"" remains a contested term and set of concepts-from debates about its engagement with Black diasporic identities, to the question of how essential notions of the ""future"" are to Afrofuturism. This course will explore Afrofuturism as a set of ideas still in flux, with repercussions across politics, aesthetics, theory, and artistic interventions, using texts from a wide array of disciplines and media, including sociology, cinema, visual art, critical theory, and literature.  
This course will be an RDI Community Engaged Course, meaning half of the students will be University of Chicago undergraduates and half will be members of our broader community. To be considered for enrollment in the course, please fill out the form linked below and request instructor consent. 
https://bit.ly/afrofuturisms2024",Eve L. Ewing,Winter,N/A,N/A,Winter
259,RDIN,RDIN 20140,Qualitative Field Methods.  ,"This course introduces techniques of, and approaches to, ethnographic field research. We emphasize quality of attention and awareness of perspective as foundational aspects of the craft. Students conduct research at a site, compose and share field notes, and produce a final paper distilling sociological insight from the fieldwork.",O. McRoberts,Spring,N/A,"SOCI 20140, CHDV 20140",Spring
260,RDIN,RDIN 20200,Race and the Politics of Vulnerability.  ,"This course will borrow from and build on the work of W.E.B Dubois, who asks in his canonical text, The Souls of Black Folk, what does it feel like to be a problem. Throughout the quarter, we will interrogate the question: what does it feel like to be a vulnerable subject in a vulnerable political and economic system.  Moreover, how do we build solidarities of resistance under such conditions? Our engagement with DuBois reminds us that explorations of vulnerability cannot be divorced from engagements with the racial order, white supremacy, and racial capitalism. For many years vulnerability was thought to be the purview primarily of the self-help domain, understood largely at an individual level.  However, feminist scholars remind that us a more radical imagining of political vulnerability ties us to others collectively, demands a shared accountability to and for others, focuses not only on the individual but also the structural, and under the best conditions necessitates that we imagine new ways of being and new worlds of possibility. Thus, centering vulnerability in our political analyses means using the lens of vulnerability not only as a means of critique, but also as a generative space of possibility. Throughout the quarter, we will explore how the idea and experience of vulnerability as it intersects with race and racial order relates to and shapes our politics today and how it facilitates or hinders a politics of solidarity moving forward.",Cathy Cohen,Winter,N/A,"RDIN 30200, PLSC 20200, CRES 22302, PLSC 30320",Winter
261,RDIN,RDIN 20233,Race in Contemporary American Society.  ,"This survey course in the sociology of race offers a socio-historical investigation of race in American society. We will examine issues of race, ethnic and immigrant settlement in the United States. Also, we shall explore the classic and contemporary literature on race and inter-group dynamics. Our investigative tools will include an analysis of primary and secondary sources, multimedia materials, photographic images, and journaling. While our survey will be broad, we will treat Chicago and its environs as a case study to comprehend the racial, ethnic, and political challenges in the growth and development of a city.",S. Hicks-Bartlett,"Autumn
Spring. Autumn quarter offered at the Undergraduate level only and Spring offered at the Graduate level only",N/A,"SOCI 20233, MAPS 30233, SOCI 30233","Autumn, Spring"
262,RDIN,RDIN 20300,Living in Our Last Days: Blackness and Apocalypse.  ,"What does it look like to survive the end of the world? Maxine Lavon Montgomery describes apocalypse as a ""cataclysmic upheaval that portends the end of an old era and the beginning of an altogether new reality"". This course explores what it would mean to consider slavery as an apocalyptic event that both shapes the world we currently inhabit and impacts present and future moments of disaster. What does an apocalypse look like in the afterlife of slavery? How do conditions of antiblackness shape the ways people experience both natural and manmade events of catastrophe such as hurricane, disease, and genocide? In addition to reading and discussing texts including Parable of the Sower, Salvage the Bones, and The Deep, this course will address these questions by engaging with the works of scholars such as Saidiya Hartman and Christina Sharpe.",Danielle Jones,Autumn,N/A,"RDIN 30300, ENGL 20300, ENGL 30300",Autumn
263,RDIN,RDIN 20400,Black Girlhood.  ,"First popularized on social media in 2013, the phrase ""Black Girl Magic"" has expanded far beyond its initial use as a twitter hashtag. It can be seen on (a bunch of different objects and the cover of many children's books and poetry anthologies). However, the visibility of the phrase did not come without controversy. Some critics argued that rather than being an uplifting rallying cry for positive depictions of black girlhood, it instead reinforced dehumanizing stereotypes of the ""strong black woman"". This debate leads us to question: How do black girls tend to be depicted both popular media and in literature? How might these depictions differ depending on author, type of media, or social context? What do they say about the ways that black girls experience childhood, gender, and friendship? To engage with these questions, this course will explore literary works including The Bluest Eye, Betsey Brown, and Abeng, along with television shows such as Lovecraft Country to examine 20th and 21st century depictions of black girlhood. We will also think with theoretical works of black feminism and black girlhood studies.",Danielle Jones,Spring,N/A,"GNSE 33167, GNSE 23167, RDIN 30400, ENGL 30422, ENGL 20422",Spring
264,RDIN,RDIN 20408,Trans Genres.  ,"This course explores genres of writing and cultural production concerned with transgender life and politics. Students will engage genre's relationship to gender, as they will read across memoir, fiction, poetry, and criticism. (Theory).",C. Riley Snorton,Winter,N/A,"GNSE 20133, ENGL 22408",Winter
265,RDIN,RDIN 20410,Ekspresyon ekri: Kreyòl lakay soti Ayiti rive nan dyaspora a.  ,"This course will provide opportunities to promote deeper knowledge of the Haitian culture while emphasizing the development of writing skills in the Kreyòl language through the use of a variety of authentic texts and cultural experiences. Topics covered in the course will include the Haitian revolution, cuisine, and audio-visual and performing arts. Moreover, students will participate in different cultural exploration outings in the city of Chicago, which will provide additional opportunities to interpret cultural artifacts and reflect on the Haitian culture and its influence on the representation and daily lives of Haitians in the diaspora, particularly in Chicago. In this course, we will: 1) analyze different cultural artifacts in the Haitian cultures through primary and secondary texts, 2) examine the influences of these cultural phenomena on the representation of Haitians and the creation of Haitian identity in the diaspora, and 3) and reflect on the importance of cultural identity in a migration context. Those who will take the course for Kreyòl credits will also develop additional syntactic knowledge in the language through creation of diverse essays. This course will be conducted in two weekly sessions: a common lecture session in English and an additional weekly discussion session in English or Kreyòl.",N/A,N/A,N/A,"KREY 20400, CHST 20400, LACS 20401",None
266,RDIN,RDIN 20500,"Race, Freedom, and the State.  ","The rise of popular abolitionist movements over the past two decades has brought renewed attention to the complicity of the state (broadly understood) in maintaining structures of racial domination. Since the early modern period, however, democratic, liberal, and republican political theorists have sought to reconcile state power with the idea of freedom-sometimes positing the formation of the state as freedom's precondition. While scholars and activists have advanced a wide array of arguments about the proper role of the state in dismantling racial domination, the discourse of abolition at times encourages suspicion toward using state power for the purpose of realizing racial justice. In this course we will engage contemporary dissatisfaction with the state by turning back to the development of the idea of the modern state and its relationship to racialized regimes of domination.  We will ask, why did early modern and modern thinkers tie the ideal of freedom to the establishment of the state? In what ways were these theories of the state bound up with the practice of racial domination and hierarchy? Can we reimagine the state so that its institutions promulgate racial justice and equality? Or would movements for freedom and equality find more useful theoretical resources in anti-statist traditions? Authors that we will cover include Jean-Jacques Rousseau, Georg Hegel, W.E.B. Du Bois, Lucy Parsons, Cedric Robinson, Charles Mills, Angela Davis, and Saidiya Hartman",Larry Svabek,Winter,N/A,"PLSC 20500, PLSC 30502, RDIN 30500",Winter
267,RDIN,RDIN 20600,The Global Color Line and the New International Order.  ,"In 1900, W. E. B. Du Bois prophesied that the ""problem of the twentieth century is the problem of the color line,"" concomitantly laying the foundation of a new language of solidarity by enlisting, not only the ""millions of black men in Africa [and] America"" but also ""the brown and yellow myriads"" in Asia, as victims of White oppression. The color line, seen as a collaborative imperial instrument to keep European states atop a global hierarchy, thus represented both problem and solution for Du Bois. This course explores the provocative thesis of color line by examining two sites where its structural logic was most evident: the continent of Africa and the emerging international law, in the early 20th century. The first part of the course focuses on Africa as a crucible for various White imperialists and a diverse group of settlers belonging to ""darker races""-drawn to the continent by its riches. We will explore the multiple forms of solidarity forged among people of color, while acknowledging how real-world animosities attenuated this aspiration. The second half examines the burgeoning int'l order by pivoting on the evolution of int'l law reliant on an ""exclusion-inclusion model"" that perpetuated the color line, along with a concomitant process of global solidarity that culminated in the Bandung Conference. Students will utilize archival and primary sources, complemented by cutting-edge contemporary scholarship.",Taimur Reza,Autumn,N/A,"RDIN 30600, HIST 27417, CHDV 20600, SALC 35328, SALC 25328",Autumn
268,RDIN,RDIN 20700,"Global Health, Environment, and Indigenous Futures.  ","The global coronavirus pandemic has made evident the significance of ecological (im)balances for the well-being of societies. The relationship between structural inequalities, changing environments and health, especially for historically and socio-economically marginalized communities, is now well established. At the same time, a growing body of literature links the material conditions of marginalized communities-for instance, spaces of dwelling and conditions of labor-to health status, globally. Based on a set of interdisciplinary literature arranged through anthropological theories, this course will critically engage with notions of health and well-being for indigenous communities, tracing injustices that stem histories of racial, caste- and ethnicity-based, and environmental exclusions. The readings are organized around one central question: What does it mean to be indigenous in a changing planet where social, political, and economic systems are marked by enduring legacies of systemic violence? This graduate and undergraduate level course will introduce contexts within which structural exclusions lead to ill-health and loss of well-being among indigenous communities across the globe. The aim is to develop critical thinking on the political economy and political ecologies of indigenous health as imbricated with issues of social, economic, and environmental justice.",Sanghamitra Da,N/A,N/A,"SALC 26501, ANTH 30700, SALC 32704, CEGU 20700, ANTH 20700, CHDV 20700, CHDV 30750, CEGU 30700, RDIN 30700",None
269,RDIN,RDIN 20800,"Research, Writing, and Mass Incarceration.  ","In this mixed enrollment course, outside students from UChicago and inside students who are incarcerated at Stateville Prison will come together each week at Stateville Prison for a quarter of learning, dialogue and knowledge building across the prison wall. We will explore the possibilities, challenges and ethical considerations researchers should contemplate when pursuing research and writing within and about carceral constraints. We will also interrogate the different methods such as ethnography, interviews and even surveys used to amplify the voices of those inside. Finally, we will look to theories such as Black feminism and queer theory to think together about the construction of (subjugated) knowledge. Through weekly assignments and exercises including developing and conducting interviews and surveys, students will develop strategies and methods for the practice of research and writing about mass incarceration. Throughout the course, guest scholars, researchers and writers will be invited to share their relevant work with us. By the end of the quarter all students will be expected to produce a research proposal for a project on mass incarceration as well as contribute to a group research project. 
Due to the unique nature of this course, it will require availability all day (8am-3pm) on Thursdays during spring quarter
Application required for enrollment: https://tinyurl.com/RDINStateville","C. Cohen, A. Kim",Spring,N/A,"CHST 20800, PLSC 20802, HMRT 20800",Spring
270,RDIN,RDIN 20900,"Violence: Vigilantism, Community Defense, and Armed Resistance.  ","This course explores extralegal violence primarily in the US, from decolonial struggles to white mobs to self and community defense by marginalized peoples. How do we understand different forms of violence, defense, and resistance in relation to the violence of the state? What role does violence play in struggles for justice and freedom? This seminar surveys a range of social science approaches to these questions. In addition to reading the work of anthropologists, historians, and philosophers, we will also take up these themes as they appear in popular media and current events.",N/A,N/A,N/A,"ANTH 32547, ANTH 22547, HIST 27907, RDIN 30900, CRES 22900",None
271,RDIN,RDIN 21090,Reading Transnational Early Modern Race through Gender.  ,"Is race an anachronistic expression in Renaissance Europe? What are the stakes for studies of race in premodern periods? How did early modern race operate differently from contemporary racialized epistemologies and in what ways are we continuously influenced by the premodern times? This course tackles these questions by foregrounding two vocabularies in the early modern racial paradigm: gender and transnational constructions. We will read primary texts set and produced both in Renaissance Europe and its colonies in Africa, Americas, and Asia, and ask: how did the structural relationship of race and gender work in tandem with, or against each other? What roles did transnational and transcultural exchanges such as Christian missions, colonization, commerce, and slave trade play in the ideations of race? We will pay close attention to fictionalized female characters and women writers, ranging from the desired white beauties in Shakespeare's Othello and Cervantes's The Bagnios of Algiers, to Nahua (Mexico) and Visayan (the Philippines) women in The Florentine Codex and The Boxer Codex, to the spiritual diaries of indigenous and black nuns in the Colonial Spanish America, to Aphra Behn's depiction of Oroonoko's execution in Surinam, and finally to the unwritten disposable lives of enslaved black women in the Atlantic slave trade.",Yunning Zhang,Spring,N/A,"CMLT 21090, SPAN 22090, GLST 21090, GNSE 23166",Spring
272,RDIN,RDIN 21100,Transatlantic Crossings: Everyday Race and Racism in the 20th Century.  ,"In this course we will explore the ""work"" race does on both sides of the Atlantic, focusing mainly on the period from the turn of the 20th century to the present.  Topics covered will include:  national variations in how ""race"" and racial identity have been defined and invoked, including policies on the naming, gathering and use of racial statistics; the fundamental rupture in ideas about race and transatlantic relations during and following the Great War and its impact on popular culture during the interwar period; the transatlantic resurgence and challenges to ""scientific racism,"" focusing especially on how it was manifested in the politics and practices of biological reproduction and adoption; the social reproduction of racial ideas and identities manifested in children's books, toys, films, and sports; and how sports and the media shape and are shaped by racial ideologies. We will explore these topics as relatively autonomous developments within the nation-states composing the Atlantic world, while noting the transatlantic transfers, connections, and influences that both strengthened and challenged them.  Our readings and discussions will focus heavily on the U.S. and France, but where pertinent comparative references will be made to Great Britain, Germany, and Brazil.",Leora Auslander,Winter,N/A,"RDIN 31100, HIST 27408, HIST 37408",Winter
273,RDIN,RDIN 21315,Narratives of American Religious History.  ,"How do we tell the story of religion in America? Is it a story of Protestant dominance? Of religious diversity? Of transnational connections? Of secularization? This course examines how historians have grappled with such questions. We will read the work of scholars who have offered narratives explaining American religious history, including figures like Sydney Ahlstrom, Albert Raboteau, Mark Noll, Ann Braude, Catherine Albanese, and Thomas Tweed. This course will introduce students to key historiographical questions in the study of American religion, as well as to classic texts which have shaped the field's development.",William Schultz and Curtis Evans,Autumn,N/A,"RAME 41315, RDIN 41315, CRES 22315, AMER 21315, HIST 47304, KNOW 41315, AMER 41315, HCHR 41315, HIST 27304, RLST 21315",Autumn
274,RDIN,RDIN 21677,"Latinxs, Labor, and the Law in the U.S.  ","Latinidad"" is an ethno-racial signifier meant to encompass people of Latin American descent living in the United States. Terms like ""Latina,"" ""Hispanic,"" and most recently, ""Latinx/e"" are meant to evoke a commonality that crosses nationalities to create political power & social recognition in the United States. Like every other identity term, ""Latinidad"" is an ever-contested construction with uncertain contours. The history of Latinidad in the U.S. has its origins in a myriad social efforts and forces: political campaigns, immigration policies, community organizing, migrant labor programs, union campaigns, marketing strategies, artistic expressions, & many more. 
Rather than simplify or ignore these tensions, the purpose of this class is to confront the agonistic aspects of Latinidad head-on. In this course, students will read widely across the social sciences & humanities, delving deep into the making and remaking of ""Latinidad"" in the U.S. We will be playing foremost attention to the roles that U.S. economic relations & government policies have had in shaping collective understandings of Latinidad, from the making of a ""brown collar"" labor sector sustaining the American economy to the development of census categories to describe Latinxs. Furthermore, we will look at U.S. Latinxs not merely as objects of policy, but also as subjects of politics, delving into the past and present of U.S. Latinx political life.",N/A,N/A,N/A,PLSC 22677,None
